gamma,ptbin,mass_w,mass_h,mass_h_err,chi2_over_ndf
0.1,0,124.747,124.745,0.2406,0.289
0.1,1,124.690,124.695,0.2407,1.215
0.1,2,124.737,124.741,0.2415,1.090
0.1,3,124.736,124.736,0.2399,0.291
0.1,4,124.773,124.772,0.2406,0.877
0.1,5,124.780,124.783,0.2412,0.677
0.1,6,124.846,124.862,0.2393,0.937
1.0,0,124.708,124.697,0.2406,0.745
1.0,1,124.643,124.653,0.2411,0.979
1.0,2,124.679,124.667,0.2409,0.899
1.0,3,124.696,124.697,0.2401,0.540
1.0,4,124.700,124.708,0.2407,0.652
1.0,5,124.726,124.735,0.2414,0.847
1.0,6,124.837,124.841,0.2401,0.914
1.5,0,124.686,124.685,0.2401,0.847
1.5,1,124.628,124.631,0.2400,0.723
1.5,2,124.676,124.665,0.2401,1.489
1.5,3,124.675,124.668,0.2391,0.932
1.5,4,124.706,124.709,0.2399,0.766
1.5,5,124.705,124.707,0.2418,0.758
1.5,6,124.835,124.846,0.2390,0.928
2.0,0,124.670,124.661,0.2402,0.846
2.0,1,124.620,124.621,0.2400,1.380
2.0,2,124.681,124.663,0.2420,0.908
2.0,3,124.665,124.654,0.2394,1.196
2.0,4,124.684,124.694,0.2399,1.252
2.0,5,124.677,124.673,0.2410,0.881
2.0,6,124.815,124.838,0.2397,0.985
2.5,0,124.666,124.668,0.2398,0.878
2.5,1,124.616,124.618,0.2406,1.040
2.5,2,124.650,124.656,0.2400,1.136
2.5,3,124.641,124.628,0.2384,0.527
2.5,4,124.695,124.699,0.2398,0.746
2.5,5,124.698,124.694,0.2404,0.939
2.5,6,124.824,124.854,0.2395,1.005
3.0,0,124.748,124.747,0.2383,11.476
3.0,1,124.563,124.563,0.2396,0.811
3.0,2,124.646,124.643,0.2414,1.682
3.0,3,124.679,124.655,0.2390,0.736
3.0,4,124.650,124.652,0.2390,0.951
3.0,5,124.695,124.691,0.2413,0.622
3.0,6,124.818,124.818,0.2399,0.786
3.5,0,124.642,124.641,0.2398,0.758
3.5,1,124.609,124.609,0.2403,0.608
3.5,2,124.646,124.623,0.2404,0.791
3.5,3,124.619,124.603,0.2393,0.967
3.5,4,124.646,124.644,0.2394,0.653
3.5,5,124.673,124.669,0.2395,1.083
3.5,6,124.810,124.820,0.2391,0.783
4.0,0,124.637,124.631,0.2396,1.346
4.0,1,124.605,124.608,0.2407,1.279
4.0,2,124.649,124.629,0.2399,1.098
4.0,3,124.607,124.600,0.2381,0.375
4.0,4,124.642,124.644,0.2390,1.647
4.0,5,124.679,124.671,0.2415,0.733
4.0,6,124.795,124.811,0.2384,0.874
4.5,0,124.629,124.618,0.2393,0.706
4.5,1,124.595,124.591,0.2390,1.349
4.5,2,124.608,124.593,0.2398,0.814
4.5,3,124.599,124.591,0.2390,0.277
4.5,4,124.614,124.615,0.2388,0.570
4.5,5,124.651,124.651,0.2418,1.860
4.5,6,124.831,124.841,0.2384,1.210
5.0,0,124.631,124.615,0.2391,1.248
5.0,1,124.588,124.591,0.2377,1.630
5.0,2,124.583,124.580,0.2404,1.538
5.0,3,124.623,124.622,0.2391,1.063
5.0,4,124.634,124.632,0.2388,1.003
5.0,5,124.629,124.622,0.2401,0.464
5.0,6,124.794,124.804,0.2378,1.509
5.5,0,124.624,124.613,0.2392,1.134
5.5,1,124.582,124.572,0.2377,1.655
5.5,2,124.604,124.603,0.2399,0.637
5.5,3,124.604,124.593,0.2399,0.760
5.5,4,124.629,124.625,0.2396,0.586
5.5,5,124.621,124.616,0.2402,1.235
5.5,6,124.796,124.808,0.2383,1.394
6.0,0,124.600,124.598,0.2396,1.018
6.0,1,124.507,124.494,0.2386,0.885
6.0,2,124.583,124.591,0.2402,1.510
6.0,3,124.574,124.574,0.2390,0.878
6.0,4,124.642,124.640,0.2393,0.787
6.0,5,124.629,124.626,0.2406,0.500
6.0,6,124.792,124.824,0.2403,1.339
6.5,0,124.617,124.608,0.2396,0.889
6.5,1,124.567,124.563,0.2386,0.764
6.5,2,124.594,124.618,0.2416,1.954
6.5,3,124.623,124.620,0.2388,0.684
6.5,4,124.600,124.599,0.2398,0.696
6.5,5,124.652,124.650,0.2415,0.367
6.5,6,124.821,124.794,0.2378,1.204
7.0,0,124.592,124.581,0.2382,0.638
7.0,1,124.518,124.515,0.2371,0.345
7.0,2,124.593,124.587,0.2407,1.032
7.0,3,124.585,124.595,0.2383,1.524
7.0,4,124.609,124.615,0.2381,0.839
7.0,5,124.621,124.614,0.2390,1.289
7.0,6,124.811,124.821,0.2394,0.424
7.5,0,124.596,124.591,0.2391,0.917
7.5,1,124.576,124.589,0.2392,1.028
7.5,2,124.571,124.569,0.2398,2.051
7.5,3,124.528,124.563,0.2421,4.848
7.5,4,124.609,124.604,0.2386,1.146
7.5,5,124.609,124.599,0.2402,1.377
7.5,6,124.781,124.804,0.2392,1.512
8.0,0,124.582,124.575,0.2390,1.447
8.0,1,124.547,124.546,0.2380,1.269
8.0,2,124.582,124.585,0.2426,0.850
8.0,3,124.549,124.542,0.2402,0.915
8.0,4,124.562,124.567,0.2384,1.095
8.0,5,124.624,124.624,0.2411,0.955
8.0,6,124.821,124.841,0.2390,0.960
8.5,0,124.556,124.543,0.2394,1.735
8.5,1,124.488,124.474,0.2396,1.496
8.5,2,124.578,124.580,0.2420,1.652
8.5,3,124.532,124.529,0.2390,0.831
8.5,4,124.545,124.538,0.2387,0.739
8.5,5,124.585,124.570,0.2378,0.849
8.5,6,124.797,124.805,0.2388,0.998
9.0,0,124.569,124.565,0.2389,0.672
9.0,1,124.703,124.708,0.2407,0.811
9.0,2,124.758,124.758,0.2417,1.229
9.0,3,124.758,124.759,0.2402,0.416
9.0,4,124.778,124.790,0.2407,0.725
9.0,5,124.804,124.807,0.2414,0.831
9.0,6,124.843,124.862,0.2394,0.867
9.5,0,124.617,124.591,0.2389,0.816
9.5,1,124.703,124.706,0.2407,0.811
9.5,2,124.758,124.757,0.2417,1.229
9.5,3,124.758,124.757,0.2401,0.416
9.5,4,124.778,124.792,0.2406,0.725
9.5,5,124.804,124.805,0.2414,0.831
9.5,6,124.843,124.862,0.2395,0.867
10.0,0,124.570,124.570,0.2392,1.466
10.0,1,124.581,124.583,0.2388,1.250
10.0,2,124.506,124.487,0.2400,0.635
10.0,3,124.575,124.558,0.2397,0.647
10.0,4,124.559,124.562,0.2403,1.158
10.0,5,124.601,124.599,0.2397,1.176
10.0,6,124.766,124.777,0.2401,0.756
20.0,0,124.494,124.474,0.2394,0.726
20.0,1,124.494,124.484,0.2417,0.997
20.0,2,124.434,124.451,0.2437,1.738
20.0,3,124.438,124.432,0.2392,0.808
20.0,4,124.476,124.476,0.2365,0.915
20.0,5,124.547,124.542,0.2408,0.758
20.0,6,124.794,124.815,0.2382,1.388
30.0,0,124.448,124.419,0.2361,1.227
30.0,1,124.381,124.373,0.2366,0.760
30.0,2,124.353,124.345,0.2359,0.932
30.0,3,124.430,124.393,0.2393,0.678
30.0,4,124.457,124.455,0.2384,0.730
30.0,5,124.500,124.494,0.2389,0.752
30.0,6,124.756,124.763,0.2379,0.707
40.0,0,124.359,124.341,0.2368,0.935
40.0,1,124.283,124.257,0.2422,0.721
40.0,2,124.336,124.329,0.2393,1.417
40.0,3,124.346,124.282,0.2337,1.213
40.0,4,124.424,124.424,0.2378,1.011
40.0,5,124.390,124.377,0.2353,1.582
40.0,6,124.724,124.734,0.2386,1.467
50.0,0,124.329,124.318,0.2355,1.339
50.0,1,124.464,124.472,0.2410,1.463
50.0,2,124.258,124.253,0.2366,0.743
50.0,3,124.321,124.311,0.2358,0.426
50.0,4,124.332,124.323,0.2345,0.568
50.0,5,124.366,124.356,0.2376,1.116
50.0,6,124.697,124.698,0.2394,1.205
