sigma,errsigma,_,__
2.72970e-02,2.33217e-03,5.43938e-05,4.35819e-02
1.86359e-02,2.19834e-04,8.87899e-06,-1.33770e-01
1.93707e-02,2.80563e-04,1.07901e-05,9.02641e-02
1.91518e-02,2.59598e-04,1.14048e-05,-5.28344e-04
3.29944e-02,2.11596e-03,3.28206e-05,1.23906e-02
2.14148e-02,2.49246e-04,9.07263e-06,-1.31242e-01
2.14919e-02,2.29288e-04,8.16669e-06,-2.63589e-02
3.44316e-02,2.71396e-03,5.41043e-05,2.53763e-02
2.50326e-02,3.58665e-04,9.33763e-06,-4.07660e-02
2.97003e-02,2.57644e-04,8.94265e-06,-1.22419e-01
3.72374e-02,4.21236e-04,1.00467e-05,1.40918e-02
3.92985e-02,4.70630e-04,1.23265e-05,-1.01765e-02
1.18799e-03,2.38636e-04,6.52232e-07,3.31862e-03
4.84895e-02,1.14938e-03,2.21746e-05,-1.72141e-02
4.75324e-02,9.10968e-04,1.68809e-05,3.73982e-03
4.48631e-02,8.94110e-04,2.00744e-05,-8.41982e-02
4.15582e-02,9.49653e-04,2.11468e-05,-1.54140e-02
4.07466e-02,9.15048e-04,2.17803e-05,1.95405e-02
4.08743e-02,2.15853e-03,5.60716e-05,1.06047e-02
1.06544e-03,3.82544e-03,0.00000e+00,-6.50394e+01
